<?xml version="1.0" encoding="utf-8"?>
<string>
 Start Position x0.578 z -0.155 fx 1 fz 0
9:54:53 AM x 0.578 z -0.155 fx 1 fz 0
9:54:56 AM x 2.296213 z 0.07563657 fx 0.991111 fz 0.1330373
9:54:58 AM x 0.8643485 z -0.1165633 fx 0.991111 fz 0.1330373
9:55:00 AM x 0.8643485 z -0.1165633 fx 0.878524 fz 0.4776983
9:55:02 AM x 0.8643485 z -0.1165633 fx 0.5532552 fz 0.8330118
9:55:04 AM x 0.8643485 z -0.1165633 fx 0.1789932 fz 0.9838504
9:55:06 AM x 0.9569848 z 0.4084946 fx 0.07940215 fz 0.9968427
9:55:08 AM x 0.6125606 z -0.7184851 fx 0.2523809 fz 0.9676279
9:55:10 AM x 0.6125606 z -0.7184851 fx 0.6241439 fz 0.7813094
9:55:12 AM x 0.6125606 z -0.7184851 fx 0.886609 fz 0.4625198
9:55:14 AM x 0.6125606 z -0.7184851 fx 0.9974049 fz 0.07199707
9:55:16 AM x 0.6125606 z -0.7184851 fx 0.9617592 fz -0.2738965
9:55:18 AM x 0.6125606 z -0.7184851 fx 0.7909795 fz -0.6118427
9:55:20 AM x 0.6125606 z -0.7184851 fx 0.4743589 fz -0.8803315
9:55:22 AM x 0.6125606 z -0.7184851 fx 0.06986147 fz -0.9975569
9:55:24 AM x 0.5090172 z -0.7656671 fx -0.03019261 fz -0.9995442
9:55:26 AM x 0.5090172 z -0.7656671 fx -0.1098504 fz -0.9939482
9:55:28 AM x 0.5075951 z -0.7679732 fx -0.1098504 fz -0.9939482
</string>
